Rk,Player,Pos,Squad,Age,Born,90s played,Yellow Card,Red Card,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interception,Takles won,Pos_primary,Squad_clean,Stage
683,Armando Obispo,DF,cw Curaçao,27,1999,3.0,0,0,0,1,0,1,0,7,1,DF,Curaçao,Group Stage Exit
685,K?ki Ogawa,FW,jp Japan,28,1997,0.5,0,0,0,1,0,0,0,0,0,FW,Japan,Reached Knockouts
686,Braian Ojeda,MF,py Paraguay,25,2000,0.2,0,0,0,0,0,0,0,0,0,MF,Paraguay,Reached Knockouts
687,Noah Okafor,FWMF,ch Switzerland,26,2000,0.2,0,0,0,0,0,0,0,0,1,FWMF,Switzerland,Reached Knockouts
688,Ime Okon,DF,za South Africa,22,2004,4.0,0,0,0,1,0,0,0,5,2,DF,South Africa,Reached Knockouts
689,Paul Okon-Engstler,MF,au Australia,21,2005,2.2,0,0,0,3,2,0,2,5,2,MF,Australia,Reached Knockouts
690,Ben Old,MF,nz New Zealand,23,2002,1.0,0,0,0,0,1,0,1,1,0,MF,New Zealand,Group Stage Exit
691,Michael Olise,MF,fr France,24,2001,7.2,1,0,0,5,16,0,22,3,8,MF,France,Reached Knockouts
692,Mathías Olivera,DF,uy Uruguay,28,1997,3.0,1,0,0,3,0,0,5,2,4,DF,Uruguay,Group Stage Exit
693,Dani Olmo,MF,es Spain,28,1998,5.5,0,0,0,6,10,0,1,1,5,MF,Spain,Reached Knockouts
694,Tani Oluwaseyi,FW,ca Canada,26,2000,2.9,0,0,0,5,5,1,2,0,3,FW,Canada,Reached Knockouts
695,Ali Olwan,MF,jo Jordan,26,2000,3.0,0,0,0,1,4,1,5,1,0,MF,Jordan,Group Stage Exit
696,Amadou Onana,MF,be Belgium,24,2001,1.2,0,0,0,1,3,0,0,2,2,MF,Belgium,Reached Knockouts
697,Christopher Opéri,DF,ci Côte d'Ivoire,29,1997,1.0,0,0,0,2,0,0,2,1,2,DF,Côte d'Ivoire,Reached Knockouts
698,Jerome Opoku,DF,gh Ghana,27,1998,3.0,0,0,0,2,4,0,0,1,2,DF,Ghana,Reached Knockouts
699,Joel Ordóñez,DF,ec Ecuador,22,2004,2.5,0,0,0,1,1,0,0,1,5,DF,Ecuador,Reached Knockouts
700,Jonathan Osorio,MF,ca Canada,34,1992,0.1,0,0,0,0,1,0,0,1,0,MF,Canada,Reached Knockouts
701,Nicolás Otamendi,DF,ar Argentina,38,1988,2.7,0,0,0,4,4,1,0,6,2,DF,Argentina,Reached Knockouts
702,Zakaria El Ouahdi,DFMF,ma Morocco,24,2001,0.2,0,0,0,1,1,0,0,0,0,DFMF,Morocco,Reached Knockouts
703,Ayoub Al-Oui,DF,qa Qatar,21,2005,1.7,0,0,0,1,0,0,0,2,0,DF,Qatar,Group Stage Exit
704,Azzedine Ounahi,MF,ma Morocco,26,2000,4.8,1,0,0,3,7,0,4,1,1,MF,Morocco,Reached Knockouts
706,Elisha Owusu,MF,gh Ghana,28,1997,1.7,0,0,0,2,0,0,3,0,3,MF,Ghana,Reached Knockouts
707,Mikel Oyarzabal,FW,es Spain,29,1997,6.7,0,0,0,4,5,1,3,1,5,FW,Spain,Reached Knockouts
708,Salih Özcan,MF,tr Türkiye,28,1998,1.1,0,0,0,2,2,0,1,4,1,MF,Türkiye,Group Stage Exit
709,Willian Pacho,DF,ec Ecuador,24,2001,4.0,0,0,0,3,2,0,0,8,2,DF,Ecuador,Reached Knockouts
710,Kendry Páez,MF,ec Ecuador,19,2007,0.1,1,0,0,1,0,0,0,0,0,MF,Ecuador,Reached Knockouts
711,Exequiel Palacios,DF,ar Argentina,27,1998,1.0,0,0,0,1,1,0,0,5,0,DF,Argentina,Reached Knockouts
712,Lucas Paquetá,MF,br Brazil,28,1997,2.6,0,0,0,3,6,0,5,5,4,MF,Brazil,Reached Knockouts
713,Leandro Paredes,MF,ar Argentina,31,1994,5.3,2,0,0,9,3,0,2,5,6,MF,Argentina,Reached Knockouts
714,Thomas Partey,MF,gh Ghana,33,1993,3.0,0,0,0,2,5,0,0,6,4,MF,Ghana,Reached Knockouts
715,Marco Paali?,MF,hr Croatia,25,2000,1.1,0,0,0,0,2,2,11,1,2,MF,Croatia,Reached Knockouts
716,Mario Paali?,MF,hr Croatia,31,1995,1.4,0,0,0,2,0,1,1,1,1,MF,Croatia,Reached Knockouts
717,Nathan Patterson,DF,sct Scotland,24,2001,2.1,0,0,0,2,0,0,1,3,2,DF,Scotland,Group Stage Exit
718,João Paulo Fernandes,DF,cv Cabo Verde,28,1998,1.2,0,0,0,0,4,0,5,6,1,DF,Cabo Verde,Reached Knockouts
719,Aleksandar Pavlovic,MF,de Germany,22,2004,3.0,1,0,0,13,4,0,1,2,3,MF,Germany,Reached Knockouts
720,Tim Payne,DF,nz New Zealand,32,1994,2.5,0,0,0,2,2,0,10,1,3,DF,New Zealand,Group Stage Exit
721,Nicolás Paz,MF,ar Argentina,21,2004,0.8,0,0,0,2,1,0,0,0,2,MF,Argentina,Reached Knockouts
722,Marcus Pedersen,DF,no Norway,25,2000,2.6,0,0,0,3,1,0,6,0,2,DF,Norway,Reached Knockouts
723,Pedri,MF,es Spain,23,2002,5.5,1,0,0,4,5,1,13,10,8,MF,Spain,Reached Knockouts
724,Nicolas Pépé,FW,ci Côte d'Ivoire,31,1995,2.6,1,0,0,1,1,1,10,3,0,FW,Côte d'Ivoire,Reached Knockouts
725,Ricardo Pepi,FW,us USA,23,2003,2.3,0,0,0,5,3,2,0,1,1,FW,USA,Reached Knockouts
726,Kojo Peprah Oppong,DF,gh Ghana,22,2004,0.5,1,0,0,1,0,0,0,0,0,DF,Ghana,Reached Knockouts
727,Ivan Perii?,MFDF,hr Croatia,37,1989,4.0,2,0,0,4,1,0,20,4,4,MFDF,Croatia,Reached Knockouts
728,Jens Petter Hauge,DFFW,no Norway,26,1999,0.1,0,0,0,0,0,0,0,0,0,DFFW,Norway,Reached Knockouts
729,Charles Pickel,DFMF,cd Congo DR,29,1997,0.4,1,0,0,2,1,0,0,0,0,DFMF,Congo DR,Reached Knockouts
731,Pico,DF,cv Cabo Verde,33,1992,4.3,0,0,0,0,3,0,0,7,5,DF,Cabo Verde,Reached Knockouts
732,Frantzdy Pierrot,FW,ht Haiti,31,1995,1.6,1,0,0,5,4,2,0,0,0,FW,Haiti,Group Stage Exit
733,Kevin Pina,MF,cv Cabo Verde,29,1997,3.9,1,0,0,5,3,0,2,3,7,MF,Cabo Verde,Reached Knockouts
734,Wagner Pina,DF,cv Cabo Verde,23,2002,1.0,1,0,0,1,3,0,2,1,0,DF,Cabo Verde,Reached Knockouts
735,Orbelín Pineda,FWMF,mx Mexico,30,1996,0.3,0,0,0,0,2,0,0,0,0,FWMF,Mexico,Reached Knockouts
736,Yéremy Pino,FWMF,es Spain,23,2002,0.8,0,0,0,2,0,1,1,0,0,FWMF,Spain,Reached Knockouts
737,Isidro Pitta,FW,py Paraguay,26,1999,0.5,0,0,0,2,0,2,0,0,0,FW,Paraguay,Reached Knockouts
739,Gonzalo Plata,FW,ec Ecuador,25,2000,4.0,1,0,0,5,4,0,8,2,5,FW,Ecuador,Reached Knockouts
740,Marin Pongra?i?,DF,hr Croatia,28,1997,3.0,0,0,0,3,0,0,0,0,3,DF,Croatia,Reached Knockouts
741,Jackson Porozo,DF,ec Ecuador,25,2000,0.3,1,0,0,2,0,0,0,0,0,DF,Ecuador,Reached Knockouts
742,Pedro Porro,DF,es Spain,26,1999,6.3,0,0,0,10,9,0,24,8,11,DF,Spain,Reached Knockouts
743,Stefan Posch,DF,at Austria,29,1997,3.7,2,0,0,7,3,0,3,10,4,DF,Austria,Reached Knockouts
744,Alexander Prass,DFMF,at Austria,25,2001,0.3,0,0,0,0,0,0,3,0,0,DFMF,Austria,Reached Knockouts
745,Ángelo Preciado,DFMF,ec Ecuador,28,1998,1.2,0,0,0,0,1,0,7,3,1,DFMF,Ecuador,Reached Knockouts
746,Ruben Providence,MF,ht Haiti,24,2001,2.4,0,0,0,3,5,0,6,0,2,MF,Haiti,Group Stage Exit
747,Luká Provod,FW,cz Czechia,29,1996,1.4,0,0,0,2,1,1,5,1,3,FW,Czechia,Group Stage Exit
749,Gustavo Puerta,MF,co Colombia,22,2003,5.2,1,0,0,9,8,0,2,3,3,MF,Colombia,Reached Knockouts
750,Christian Pulisic,MF,us USA,27,1998,2.5,0,0,0,1,8,2,4,0,1,MF,USA,Reached Knockouts
751,Ahmed Qasem,MFFW,iq Iraq,22,2003,1.4,0,0,0,0,1,0,1,0,0,MFFW,Iraq,Group Stage Exit
752,Jarell Quansah,DF,eng England,23,2003,2.2,1,1,0,2,2,0,1,0,0,DF,England,Reached Knockouts
753,Julián Quiñones,FWMF,mx Mexico,29,1997,4.6,0,0,0,5,7,1,3,0,0,FWMF,Mexico,Reached Knockouts
755,Juan Quintero,FWMF,co Colombia,33,1993,1.3,0,0,0,0,1,0,12,0,0,FWMF,Colombia,Reached Knockouts
756,Ramy Rabia,DF,eg Egypt,33,1993,4.1,0,0,0,3,2,0,0,3,5,DF,Egypt,Reached Knockouts
757,Adrien Rabiot,MF,fr France,31,1995,6.5,1,0,0,13,4,1,2,11,7,MF,France,Reached Knockouts
758,Stjepan Radelji?,DF,ba BosniaHerz,28,1997,2.0,1,0,0,1,3,0,0,0,1,DF,BosniaHerz,Reached Knockouts
759,Soufiane Rahimi,FW,ma Morocco,30,1996,1.8,0,0,0,5,6,2,1,0,2,FW,Morocco,Reached Knockouts
761,Anthony Ralston,DF,sct Scotland,27,1998,0.1,0,0,0,2,0,0,1,0,0,DF,Scotland,Group Stage Exit
762,Gonçalo Ramos,FW,pt Portugal,24,2001,0.4,0,0,0,0,0,0,0,0,0,FW,Portugal,Reached Knockouts
763,Jiovany Ramos,DF,pa Panama,29,1997,1.8,0,0,0,2,1,0,0,3,1,DF,Panama,Group Stage Exit
764,Jesse Randall,MF,nz New Zealand,23,2002,0.7,0,0,0,0,1,0,5,0,0,MF,New Zealand,Group Stage Exit
766,Raphinha,MFFW,br Brazil,29,1996,1.4,0,0,0,1,2,2,9,0,0,MFFW,Brazil,Reached Knockouts
767,Nizar Al Rashdan,MF,jo Jordan,27,1999,2.8,0,0,0,5,4,0,0,2,5,MF,Jordan,Group Stage Exit
768,Marcus Rashford,MF,eng England,28,1997,2.5,0,0,0,5,1,1,17,0,2,MF,England,Reached Knockouts
769,Nicolas Raskin,MF,be Belgium,25,2001,3.8,0,0,0,12,3,0,7,2,5,MF,Belgium,Reached Knockouts
770,David Raum,DF,de Germany,28,1998,1.2,0,0,0,2,0,0,13,1,1,DF,Germany,Reached Knockouts
771,Noor Al Rawabdeh,MF,jo Jordan,29,1997,3.0,0,0,0,1,0,0,0,2,7,MF,Jordan,Group Stage Exit
772,Rayan,FWMF,br Brazil,19,2006,3.2,0,0,0,5,4,1,11,3,4,FWMF,Brazil,Reached Knockouts
773,Iqraam Rayners,FW,za South Africa,30,1995,1.8,0,0,0,1,1,2,2,0,0,FW,South Africa,Reached Knockouts
774,Tim Ream,DF,us USA,38,1987,4.0,0,0,0,0,2,0,0,6,1,DF,USA,Reached Knockouts
775,Tijjani Reijnders,MF,nl Netherlands,27,1998,2.2,0,0,0,0,3,1,15,2,0,MF,Netherlands,Reached Knockouts
776,Omar Rekik,DF,tn Tunisia,24,2001,2.0,0,0,0,0,1,1,1,3,2,DF,Tunisia,Group Stage Exit
777,Israel Reyes,DF,mx Mexico,26,2000,2.2,0,0,0,1,0,0,2,3,1,DF,Mexico,Reached Knockouts
778,Gio Reyna,MF,us USA,23,2002,1.5,0,0,0,1,3,0,1,0,0,MF,USA,Reached Knockouts
779,Ramin Rezaeian,DFMF,ir IR Iran,36,1990,3.0,0,0,0,2,3,1,18,2,5,DFMF,IR Iran,Group Stage Exit
780,Chadi Riad,DF,ma Morocco,22,2003,3.8,0,0,0,0,1,0,0,4,1,DF,Morocco,Reached Knockouts
781,Declan Rice,MF,eng England,27,1999,6.2,2,0,0,4,0,1,44,5,3,MF,England,Reached Knockouts
782,Chris Richards,DF,us USA,26,2000,4.0,1,0,0,8,3,0,0,4,3,DF,USA,Reached Knockouts
783,Fabian Rieder,MFFW,ch Switzerland,24,2002,3.4,0,0,0,3,6,0,13,1,3,MFFW,Switzerland,Reached Knockouts
784,Richard Ríos,MF,co Colombia,26,2000,1.6,1,0,0,10,4,0,1,1,2,MF,Colombia,Reached Knockouts
785,Ró-Ró,DF,qa Qatar,35,1990,3.0,0,0,0,1,7,0,2,3,4,DF,Qatar,Group Stage Exit
786,Andy Robertson,DF,sct Scotland,32,1994,2.5,1,0,0,3,1,0,10,2,1,DF,Scotland,Group Stage Exit
787,Antonee Robinson,DFMF,us USA,28,1997,3.9,1,0,0,4,1,0,18,6,4,DFMF,USA,Reached Knockouts
788,Miles Robinson,DF,us USA,29,1997,1.0,0,0,0,2,0,0,0,1,1,DF,USA,Reached Knockouts
790,Rodri,MF,es Spain,29,1996,8.0,0,0,0,11,9,1,4,3,20,MF,Spain,Reached Knockouts
791,Garry Rodrigues,MF,cv Cabo Verde,35,1990,0.8,0,0,0,0,0,2,2,1,2,MF,Cabo Verde,Reached Knockouts
792,Brian Rodríguez,FWMF,uy Uruguay,26,2000,0.5,0,0,0,0,1,0,13,0,0,FWMF,Uruguay,Group Stage Exit
793,James Rodríguez,FWMF,co Colombia,34,1991,3.5,0,0,0,0,5,0,18,1,1,FWMF,Colombia,Reached Knockouts
794,Kevin Rodríguez,FW,ec Ecuador,26,2000,1.3,0,0,0,3,2,0,0,0,1,FW,Ecuador,Reached Knockouts
795,Ricardo Rodríguez,DF,ch Switzerland,33,1992,5.7,0,0,0,11,2,0,19,4,7,DF,Switzerland,Reached Knockouts
796,Tomás Rodríguez,FW,pa Panama,27,1999,0.5,0,0,0,3,1,0,0,0,0,FW,Panama,Group Stage Exit
797,Godfried Roemeratoe,MF,cw Curaçao,26,1999,0.1,0,0,0,0,0,0,0,0,0,MF,Curaçao,Group Stage Exit
798,Morgan Rogers,MF,eng England,23,2002,3.8,0,0,0,5,5,2,5,0,3,MF,England,Reached Knockouts
799,Cristian Romero,DF,ar Argentina,28,1998,6.8,2,0,0,9,3,0,0,11,10,DF,Argentina,Reached Knockouts
800,Luis Romo,MF,mx Mexico,31,1995,2.9,0,0,0,1,3,0,1,4,4,MF,Mexico,Reached Knockouts
801,Cristiano Ronaldo,FW,pt Portugal,41,1985,4.9,0,0,0,2,5,6,0,1,1,FW,Portugal,Reached Knockouts
803,Marten de Roon,DFMF,nl Netherlands,35,1991,0.1,0,0,0,0,0,0,0,0,0,DFMF,Netherlands,Reached Knockouts
804,Saed Al-Rosan,DF,jo Jordan,29,1997,0.1,0,0,0,0,0,0,0,0,0,DF,Jordan,Group Stage Exit
805,Antonio Rüdiger,DF,de Germany,33,1993,2.9,0,0,0,1,0,0,3,0,0,DF,Germany,Reached Knockouts
806,Fabián Ruiz Peña,MF,es Spain,30,1996,3.6,0,0,0,1,3,0,9,4,3,MF,Spain,Reached Knockouts
808,Julian Ryerson,DF,no Norway,28,1997,2.5,0,0,0,6,1,0,15,0,8,DF,Norway,Reached Knockouts
809,Elias Saad,MFFW,tn Tunisia,26,1999,1.3,0,0,0,1,3,1,2,0,1,MFFW,Tunisia,Group Stage Exit
811,Mustafa Saadoon,DF,iq Iraq,25,2001,0.2,0,0,0,2,0,0,0,0,1,DF,Iraq,Group Stage Exit
812,Mahmoud Saber,MF,eg Egypt,24,2001,0.5,1,0,0,2,1,0,1,0,0,MF,Egypt,Reached Knockouts
813,Marcel Sabitzer,MF,at Austria,32,1994,4.0,1,0,0,2,3,1,31,6,2,MF,Austria,Reached Knockouts
814,Noah Sadiki,MF,cd Congo DR,21,2004,2.9,2,0,0,2,3,0,1,2,4,MF,Congo DR,Reached Knockouts
815,Michal Sadílek,MF,cz Czechia,27,1999,2.0,0,0,0,0,3,0,12,2,2,MF,Czechia,Group Stage Exit
816,Alexis Saelemaekers,MF,be Belgium,26,1999,0.9,0,0,0,0,2,2,1,0,2,MF,Belgium,Reached Knockouts
817,Ismael Saibari,FW,ma Morocco,25,2001,4.2,0,0,0,8,3,3,5,0,2,FW,Morocco,Reached Knockouts
818,Bukayo Saka,MF,eng England,24,2001,4.0,0,0,0,4,9,4,21,1,7,MF,England,Reached Knockouts
819,Mohamed Salah,FWMF,eg Egypt,33,1992,4.7,0,0,0,5,13,1,14,2,0,FWMF,Egypt,Reached Knockouts
820,Anass Salah-Eddine,DF,ma Morocco,24,2002,2.4,0,0,0,3,2,0,3,0,5,DF,Morocco,Reached Knockouts
821,Nathan Saliba,MF,ca Canada,22,2004,2.0,1,0,0,5,2,0,2,4,4,MF,Canada,Reached Knockouts
822,William Saliba,DF,fr France,25,2001,5.3,0,0,0,4,0,0,0,6,0,DF,France,Reached Knockouts
824,Antonio Sanabria,FW,py Paraguay,30,1996,0.9,0,0,0,1,2,0,0,0,2,FW,Paraguay,Reached Knockouts
825,Davinson Sánchez,DF,co Colombia,30,1996,5.3,1,0,0,6,5,1,0,6,2,DF,Colombia,Reached Knockouts
826,Jorge Sánchez,DF,mx Mexico,28,1997,3.9,1,0,0,5,1,1,6,5,4,DF,Mexico,Reached Knockouts
827,Alex Sandro,DFMF,br Brazil,35,1991,0.1,0,0,0,1,0,0,0,0,0,DFMF,Brazil,Reached Knockouts
828,Leroy Sané,MF,de Germany,30,1996,3.6,0,0,0,3,2,1,10,2,3,MF,Germany,Reached Knockouts
829,Ibrahim Sangaré,MF,ci Côte d'Ivoire,28,1997,3.0,0,0,0,2,4,0,0,6,5,MF,Côte d'Ivoire,Reached Knockouts
830,Kaish? Sano,MF,jp Japan,25,2000,3.0,1,0,0,4,1,0,1,4,2,MF,Japan,Reached Knockouts
831,Danilo Santos,MF,br Brazil,25,2001,0.5,0,0,0,0,0,0,0,1,2,MF,Brazil,Reached Knockouts
832,Douglas Santos,DF,br Brazil,32,1994,4.9,1,0,0,3,2,1,6,6,10,DF,Brazil,Reached Knockouts
833,Bara Sapoko Ndiaye,MF,sn Senegal,18,2007,0.3,0,0,0,0,2,0,0,0,0,MF,Senegal,Reached Knockouts
834,Ismaila Sarr,MFFW,sn Senegal,28,1998,4.0,0,0,0,1,9,2,2,2,1,MFFW,Senegal,Reached Knockouts
835,Farrukh Sayfiev,DFMF,uz Uzbekistan,35,1991,0.5,0,0,0,0,2,0,2,0,0,DFMF,Uzbekistan,Group Stage Exit
836,Amine Sbai,FWMF,ma Morocco,25,2000,0.1,0,0,0,2,0,0,2,0,0,FWMF,Morocco,Reached Knockouts
837,Joe Scally,DF,us USA,23,2002,1.0,0,0,0,0,2,1,4,1,1,DF,USA,Reached Knockouts
838,Patrik Schick,FW,cz Czechia,30,1996,2.0,0,0,0,1,3,0,0,0,0,FW,Czechia,Group Stage Exit
839,Andreas Schjelderup,FW,no Norway,22,2004,2.8,0,0,0,2,3,0,4,5,3,FW,Norway,Reached Knockouts
841,Xaver Schlager,MF,at Austria,28,1997,2.6,0,0,0,6,0,0,1,7,3,MF,Austria,Reached Knockouts
842,Nico Schlotterbeck,DF,de Germany,26,1999,1.5,0,0,0,2,1,0,0,3,2,DF,Germany,Reached Knockouts
843,Romano Schmid,MFFW,at Austria,26,2000,2.9,0,0,0,3,4,0,3,0,4,MFFW,Austria,Reached Knockouts
844,Kamogelo Sebelebele,DFMF,za South Africa,23,2002,0.1,0,0,0,1,0,0,1,0,0,DFMF,South Africa,Reached Knockouts
845,Abdoulaye Seck,DF,sn Senegal,34,1992,0.6,1,0,0,1,1,0,0,0,0,DF,Senegal,Reached Knockouts
846,Alidu Seidu,DF,gh Ghana,26,2000,0.9,1,0,0,1,0,0,1,1,1,DF,Ghana,Reached Knockouts
847,Nicolas Seiwald,MF,at Austria,25,2001,3.5,0,0,0,1,1,0,3,4,5,MF,Austria,Reached Knockouts
848,Ayumu Seko,DF,jp Japan,26,2000,1.0,0,0,0,1,0,0,0,1,1,DF,Japan,Reached Knockouts
850,Ken Sema,FWMF,se Sweden,32,1993,0.2,0,0,0,0,1,0,0,0,1,FWMF,Sweden,Reached Knockouts
851,Nélson Semedo,DFMF,pt Portugal,32,1993,1.4,1,0,0,2,2,0,3,0,0,DFMF,Portugal,Reached Knockouts
852,Willy Semedo,FW,cv Cabo Verde,32,1994,1.5,0,0,0,4,2,0,2,3,0,FW,Cabo Verde,Reached Knockouts
853,Antoine Semenyo,MFFW,gh Ghana,26,2000,4.0,0,0,0,6,4,4,5,0,2,MFFW,Ghana,Reached Knockouts
854,Marvin Senaya,DF,gh Ghana,25,2001,3.1,0,0,0,6,4,0,8,6,12,DF,Ghana,Reached Knockouts
855,Marcos Senesi,DF,ar Argentina,29,1997,1.2,0,0,0,0,3,0,0,2,0,DF,Argentina,Reached Knockouts
856,Igor Sergeev,FW,uz Uzbekistan,33,1993,0.3,0,0,0,0,0,1,0,0,0,FW,Uzbekistan,Group Stage Exit
857,Jean Seri,MF,ci Côte d'Ivoire,34,1991,0.2,0,0,0,0,0,0,3,0,1,MF,Côte d'Ivoire,Reached Knockouts
859,Paik Seung-ho,MF,kr Korea Republic,29,1997,2.3,1,0,0,1,2,0,1,1,0,MF,Korea Republic,Group Stage Exit
860,Joaquin Seys,DF,be Belgium,21,2005,0.3,0,0,0,0,0,0,0,0,1,DF,Belgium,Reached Knockouts
861,Jacob Shaffelburg,MF,ca Canada,26,1999,1.0,0,0,0,2,1,0,18,2,1,MF,Canada,Reached Knockouts
862,Mohammed Abu Al-Shamat,MF,sa Saudi Arabia,23,2002,1.5,0,0,0,2,1,0,3,1,3,MF,Saudi Arabia,Group Stage Exit
863,Lawrence Shankland,FW,sct Scotland,30,1995,1.9,0,0,0,5,3,1,0,0,1,FW,Scotland,Group Stage Exit
865,Aimar Sher,MF,iq Iraq,23,2002,0.3,0,0,0,0,0,0,1,0,0,MF,Iraq,Group Stage Exit
866,Kento Shiogai,FW,jp Japan,21,2005,0.1,0,0,0,0,0,0,0,0,0,FW,Japan,Reached Knockouts
868,Eldor Shomurodov,FW,uz Uzbekistan,30,1995,3.0,0,0,0,8,4,1,1,0,4,FW,Uzbekistan,Group Stage Exit
869,Otabek Shukurov,MF,uz Uzbekistan,29,1996,2.6,0,0,0,2,5,0,1,0,2,MF,Uzbekistan,Group Stage Exit
870,Nkosinathi Sibisi,DF,za South Africa,30,1995,1.0,1,0,0,1,0,0,0,1,0,DF,South Africa,Reached Knockouts
871,Kwasi Sibo,MF,gh Ghana,27,1998,2.8,0,0,0,7,1,0,0,2,0,MF,Ghana,Reached Knockouts
872,Niko Sigur,MF,ca Canada,22,2003,1.4,1,0,0,5,1,0,5,0,1,MF,Canada,Reached Knockouts
873,Bernardo Silva,MF,pt Portugal,31,1994,1.1,2,0,0,3,0,0,0,1,0,MF,Portugal,Reached Knockouts
874,Éderson Silva,MF,br Brazil,26,1999,0.2,0,0,0,1,0,0,2,1,0,MF,Brazil,Reached Knockouts
875,Giuliano Simeone,FW,ar Argentina,23,2002,2.1,0,0,0,9,1,1,2,1,3,FW,Argentina,Reached Knockouts
876,Dominique Simon,MF,ht Haiti,25,2000,0.6,0,0,0,1,1,0,1,1,1,MF,Haiti,Group Stage Exit
878,Sarpreet Singh,MF,nz New Zealand,27,1999,2.3,1,0,0,2,2,0,7,0,1,MF,New Zealand,Group Stage Exit
879,Wilfried Singo,DF,ci Côte d'Ivoire,25,2000,1.9,0,0,0,3,1,0,1,4,0,DF,Côte d'Ivoire,Reached Knockouts
880,Sphephelo Sithole,MF,za South Africa,27,1999,2.5,0,1,0,5,1,0,0,5,5,MF,South Africa,Reached Knockouts
881,Ellyes Skhiri,MFDF,tn Tunisia,31,1995,2.8,0,0,0,0,1,0,0,2,1,MFDF,Tunisia,Group Stage Exit
882,Alexandr Sojka,MFDF,cz Czechia,23,2003,1.6,0,0,0,0,2,0,6,2,1,MFDF,Czechia,Group Stage Exit
883,Ramón Sosa,FWMF,py Paraguay,26,1999,0.1,0,0,0,0,1,0,0,0,0,FWMF,Paraguay,Reached Knockouts
884,Tomá Sou?ek,MF,cz Czechia,31,1995,1.5,0,0,0,3,1,2,1,1,0,MF,Czechia,Group Stage Exit
885,Harry Souttar,DF,au Australia,27,1998,4.3,1,0,0,8,1,0,0,4,0,DF,Australia,Reached Knockouts
886,Djibril Sow,MF,ch Switzerland,29,1997,2.8,0,0,0,5,4,0,3,2,1,MF,Switzerland,Reached Knockouts
887,Ça?lar Söyüncü,DF,tr Türkiye,30,1996,0.1,0,0,0,0,0,0,0,0,0,DF,Türkiye,Group Stage Exit
888,Djed Spence,DF,eng England,25,2000,4.5,0,0,0,3,5,0,6,5,10,DF,England,Reached Knockouts
889,Marko Stamenic,MF,nz New Zealand,24,2002,3.0,1,0,0,4,0,0,1,4,1,MF,New Zealand,Group Stage Exit
890,Josip Stanii?,DFMF,hr Croatia,26,2000,4.0,0,0,0,0,4,0,7,5,2,DFMF,Croatia,Reached Knockouts
893,Angelo Stiller,MF,de Germany,25,2001,0.5,0,0,0,0,0,0,0,1,1,MF,Germany,Reached Knockouts
894,John Stones,DF,eng England,32,1994,3.7,0,0,0,1,1,0,1,0,0,DF,England,Reached Knockouts
895,Jørgen Strand Larsen,FW,no Norway,26,2000,1.2,0,0,0,0,2,1,0,0,0,FW,Norway,Reached Knockouts
896,Elliot Stroud,MF,se Sweden,23,2002,1.8,0,0,0,3,1,0,4,3,0,MF,Sweden,Reached Knockouts
897,Luis Suárez,FW,co Colombia,28,1997,3.7,1,0,0,7,8,1,2,0,4,FW,Colombia,Reached Knockouts
898,Luka Su?i?,FWMF,hr Croatia,23,2002,0.2,0,0,0,0,0,0,0,0,0,FWMF,Croatia,Reached Knockouts
899,Petar Su?i?,MFFW,hr Croatia,22,2003,3.2,1,0,0,7,6,1,4,1,2,MFFW,Croatia,Reached Knockouts
900,Yukinari Sugawara,MF,jp Japan,25,2000,1.6,0,0,0,3,1,0,4,0,3,MF,Japan,Reached Knockouts
901,Rebin Sulaka,DF,iq Iraq,34,1992,0.5,0,1,0,1,0,0,0,1,0,DF,Iraq,Group Stage Exit
902,Pavel ulc,FW,cz Czechia,25,2000,2.1,0,0,0,2,1,1,1,0,2,FW,Czechia,Group Stage Exit
903,Kamaldeen Sulemana,MFFW,gh Ghana,24,2002,1.4,0,0,0,2,1,1,4,1,2,MFFW,Ghana,Reached Knockouts
904,Crysencio Summerville,FW,nl Netherlands,24,2001,2.8,1,0,0,2,5,1,7,2,2,FW,Netherlands,Reached Knockouts
905,Ivan unji?,MF,ba BosniaHerz,29,1996,2.2,0,0,0,7,0,0,1,0,3,MF,BosniaHerz,Reached Knockouts
906,Finn Surman,DF,nz New Zealand,22,2003,3.0,0,0,0,4,2,0,0,4,1,DF,New Zealand,Group Stage Exit
907,Josip utalo,DF,hr Croatia,26,2000,4.0,0,0,0,2,1,0,0,6,4,DF,Croatia,Reached Knockouts
908,Junnosuke Suzuki,DF,jp Japan,22,2003,0.5,1,0,0,2,0,0,0,1,0,DF,Japan,Reached Knockouts
909,Yuito Suzuki,FWMF,jp Japan,24,2001,0.1,0,0,0,0,0,0,0,0,1,FWMF,Japan,Reached Knockouts
911,Mattias Svanberg,MF,se Sweden,27,1999,0.2,0,0,0,0,1,0,0,1,1,MF,Sweden,Reached Knockouts
912,Daniel Svensson,DF,se Sweden,24,2002,1.1,0,0,0,0,0,1,2,1,2,DF,Sweden,Reached Knockouts
913,Alexander Sørloth,FW,no Norway,30,1995,3.7,0,0,0,6,2,2,5,0,1,FW,Norway,Reached Knockouts
914,Musa Al-Taamari,FW,jo Jordan,29,1997,2.4,0,0,0,2,3,1,0,0,0,FW,Jordan,Group Stage Exit
